Url translation;fra;bbj
;"Site écologique remarquable il fait l'objet d'un vaste projet de valorisation par une ONG allemande ""GTZ"".";"Tsʉ̌ʼ puɓ bə taʼ ONG Jǎmâ ""GTZ"".cəŋtə nyáptə́"
;Un volcan encore en activité dont la dernière irruption date de mars 2000.;muʼ bə́lɛ́ yə a lə sɔ̌ nə̂ jʉɔjʉm ntʉ̌m nǝ́ Dzə̂dzə́ guʼ 2000 á yaə á ntʉ́m ó sə́.
;Le site bénéficie d'une pluviométrie très élevée (plus de 15m) à Cap Debunscha.;Tsʉʼ bɔ̂ bə pú tʉ́ mə̂sîŋ nəfóʼ dəŋ bəŋ nə́ yə gwyə́ ( ntwɔ́k 15 m) Káp Debúŋshà
;LES SITES DE MAYO -REY portent encore des empreintes fossilisées de dinosaures.;Ǎ yaə nə̂ cǎʼ MAYO-REY pú yaə̂ wə́ jɔ́ á mkwə dinozɔ̂ páʼ e lə̂ ntʉ́ sí áá
;Le Tourisme culturel tire sa De la diversité présentée dans l'art de vivre le folklore la religion l'habitat et même la cuisine.;Kɔ̂ bə́ ntîntí páʼ ntîntǐ mnəŋ mnwəsí mpaʼ ba mcəŋ
;Les cases Massa en forme ovale du Nord du pays sont uniques au monde.;Paʼ Masa yə â bə́ Jyəŋkaʼ bə á tsámnyə́ á tə̂ biŋ nə̂ sɔmtsʉʼ dəmcǎʼ pə́ 
;Le microclimat de Dschang offre l'un des meilleurs lieux de relaxation du Cameroun.;mcʉdzʉ̂ náʼ hwítə́ Cɛ gə́ gaə́ á pə́ buŋ tsʉʼ nəshwásakdzʉ́ Kaməlûm 
;Le Président de la République est la clé de voûte du système politique camerounais.;Dôgûŋ bə́ gwɔʼ phə́paʼ nwə khəkhə ntʉ́m Kaməlûm
;Chef de l'Etat il incarne l'unité nationale.;Dôgûŋ bə́ gak nə̂ ntàmtə̀ gùŋ
;Celui -ci comprend deux chambres.;Mdyə̂ bə́ ntʉ́m ó mə́bʉə́ə́
;Le Premier Ministre est le Chef du Gouvernement dont il dirige l'action.;Dəŋdzə Mŋwǎlâʼ bə́ Tâdyə̂ gɔ̂pnaʼ yə ê sáʼ áá
;Le Cameroun entretient avec ses partenaires traditionnels une politique suivie et efficace.;Kaməlûm púa msô mkɔ pyə̂ kwínyə́ pəpúŋ nə́ khəkhə
;Le Franc CFA (franc de la Communauté Financière Africaine) a une parité fixe de 001 FRF.;"Fəláŋ Séfa (Fəlâŋ Pəwi;mŋkáp Afríkâ) ghə cúʼnyə́ e 001 FRF  "
;1 FRF = 100 CFA (depuis le 12 janvier 1994).;1 FRF= 100FCA (tə fə́ tyə̂ʼ 12 nə́ Ŋkə̂mghě 1994)
;1 Dollar = 50253 CFA (au 19 avril 2013).;1 dolâ = 50253 CFA (tə fə́ tyə̂ʼ 19 nə́ Dzə̂biyɛ́ 2013).
;seul le vaccin contre la fièvre jaune est obligatoire au Cameroun.;Daʼ kóʼpú nə̂ pɛ né wə́ bə́ təkuŋkúŋ Kaməlûm
;Le vaccin contre l'Hépatite B est conseillé.;Syap nə shwájyə nə́ Epatítə̌ B pùŋ
;LE TOURISME DE SAFARI ET DE CHASSE.;KƏ́KAJÓTSɄ' SAFARÍ GƏ́ VɄ́M
;Pour remplir les formalités de police vous devez présenter.;Nə́ ghə ywə́ yə mə́kǔʼ hə́ŋ â shə́ŋ
;la validité maximum d'un visa de tourisme est de trois mois avec plusieurs entrées et sorties.;Cwə̂ jɔ́m teʼ nə́ vizâ kə́ka jɔ́ tsʉʼ bə́ mŋwə́ tá o ghɔ̂ lə́ bhənyə tə̀ byà
;Si vous comptez loger chez des amis il faut leur demander de vous fournir un certificat d'hébergement timbré et certifié conforme.;Po pə̂ wə́ shə́ŋ nə́ lə sô yɔ po a pú cwə́ po ghɔ̂m bí í gaə́ é ha kam ŋwaʼnyə cwə̂ bí po bə pú cəŋtə ntʉ́ sətâm nə́ bíŋ ntʉ́ pú nə́
;Le visa est délivré par les représentations diplomatiques ou consulaires du Cameroun à l'étranger.;Pəŋthə́ dôguŋ yə é tə́m á né kuʼnyə nə́ hâ vizâ bí mò
;Toutefois si vous venez d'un pays où le Cameroun n'est pas représenté vous pouvez obtenir le visa au poste frontalier.;A pə̂ gaə́ pô fə́ m nə́ taʼ guŋ yə nəmo Kaməlûm tə̌ wə́ á po kwî vizâ wə́ mə́kuʼ dzə̀ gùŋ.
;La ville de Mfou a été bouclée par des hommes en tenue.;Msə̌ŋwi kě níŋ tísuŋ Mfu tə só gaə̂ fííí
;Ils ont emporté un petit sac contenant ses effets personnels.;Wáp lə yaʼ puə gɔ́ pǒtsə́ mo pə́ ntʉ́m ó
;Les autorités administratives judiciaires ainsi que celles de police seront appelées au secours.;Pú kə kê dɔ̌k gɔ̂pnaʼ dɔ̌k nwə dəŋdəŋ ba dɔ̌k mə́kuʼ wáp sɔ̂ʼ ŋkwítə́ 
;La population ne va pas manquer d’apporter son soutien aux efforts des autorités.;Pəláʼ pîŋ ntʉ̂ yáp pû yáp nə́ kwítə́
;L’action des forces de l’ordreLe même soir toute la ville de Mfou sera bouclée.;Mfaʼ msə̌ŋwi ghə̂ tə á pə́ á bwâdzʉ̌ bɔ̂ bə tísuŋ Mfǔ ló bə́ â msə̌ŋwì
;La police et la gendarmerie supplées par le corps spécial des Esir venus de Yaoundé vont procéder aux contrôles systématiques.;Mə́kuʼ púa pɛcoʼ tə́ gə́ mə́cwɔ̂ʼ msə̌ŋwi Esir pyə wáp fə́ m Yawude á tám pé ntáʼ tsʉʼ
;Ilsvont réussir à ramener intact le sac du patron du ministère public.;Wáp tâʼ tə nə̂ phənyə bə wáp yɔ́ pʉə tâdyə̂ dêkɔmpè
;Une bravoure de l'Etat- major du département saluée par le préfet du département de la Mefou et Afamba.;Taʼ faʼ pəpúŋ Etap mazhɔ̂ yə tâdyə̂ pfə́láʼ Mefu Afamba goʼtə
;Car depuis plusieurs mois le grand banditisme sévit dans la petite ville de Mfou.;Nə̂kə́lə́ â mŋwə̂ tə jɔ́m páʼ nwə ghaʼcúŋ də tísuŋ Mfu lə
;L’on se souvient d’ailleurs de la macabre découverte d’une usine de fabrication des armes artisanales à Nkilzock près de Mfou ».;Pə kámtə́ gaə́ pú lə yɔ̂ taʼ tsʉʼ nənyáp mgâ kɔmdhə́ Nkílzɔk pə́ bə́ŋ Mfù
;Les saccageurs ont été arrêtés et gardés à vue à la gendarmerie de Mfou.;Pú lə ghə̌m mcúŋ bɔ̂ dwɔ́ʼ  wáp wə̂ pɛcoʼ Mfu tə́ cə́ŋ ntʉ̂m nwə̀
;Ils ont été arrêtés et gardés à vue à Mfou.;Wáp Mfu bə pú lwɔʼ wáp tə́ cə́ŋ ntʉ́m nwə̀
;L’usine était installée à .to'o Anquièe.dans le village Nkilzock par Mfou.;Tsʉʼfaʼ gwyə́ pə́ Anqie ntʉ́m láʼ Nkilzock jyə Mfou
;Les propriétaires de cette usine seraient des ressortissants anglophones selon des sources auprès des services de renseignement.;mghɛtə́ŋtə́ nwə̂ gɔm gaə́ tsʉʼfaʼ bɔ̂ gɔ pə̂ yə́ pɔmnəŋ bə wáp fə́ wə́ pəghɔm gəlísì
;Une découverte macabre vient d’être faite par la gendarmerie de Mfou.;Pɛcoʼ Mfǔ yɔ̂ muʼ mcyəyaʼ nwə tyə́ʼ ɔ
;Selon des sources l’usine appartiendrait aux ressortissants anglophones qui l’avaient installée très loin dans la brousse.;Shə́pɔ̌ ghɔm gaə́ tsʉʼfâʼ bə̂ yə́ pəfə́ wə́ pəghɔm gəlísi bə wáp lə ghɔ̌ tə ghɛ́ tə́ ŋkwə́
;AssautTout est parti il y a quelques jours d’un accident de moto au niveau du lycée bilingue de Mfou.;Guŋ mnwə kə tǒʼ á nə́ páʼ mo kə tyə́ʼmô dʉ́m nə́ kwɛ́ Səkú Lɔ́ŋtəlɔsí Mfu lə 
;Quand le moto- taximan accidenté répondra qu'il dépose son client .à Ato'o Anquièe là où on fabrique les armes.;Bə fəŋkwɛ́ yə e dʉ́m á ghɔm gaə́ ê də mo yə e ŋkwa á gɔ́ Atoʼo Aŋkiɛ́ tsʉʼ yə pû nyap mgá nə́ á ntʉ́ 
;C’estqu’une maman qui passait par là va mettre la puce à l’oreille de la gendarmerie.;Taʼ mə̂mjwǐ yúʼ gɔ síŋ pɛcoʼ
;Les populations seront mises à contribution avec succès.;Pú nyâptə púa pəláʼ tə á pə́mtə̀
;Son fils un certain Jean- Pierre aurait conclu des accords pour que ces armes soient fabriquées dans sa concession.;Bə mû e yə tsô tsyə̂ bə́ Jean-Pierre á píŋ gaə́ pú pə́ nyáp mgá  láʼ pú 
;Le propriétaire de la concession et ses complices ont été arrêtés et mis sen exploitation à Mfou.;Pú kě gəm gɛlǎʼ púa mkʉ̂ʼ pyə́ tə bə́ wə́ ntə́ŋtə́ wáp Mfù
;Pour le moment l’on ne sait pas encore à quelle fin étaient destinées ces armes.;Kwaʼ cwəlɔ mo ka wɛ́ jyə́ ywə́ yə pú kə̂ gɔ pə́ lə mgá ghə áá
;Aussi restons-nous aujourd’hui comme hier à l’écoute des suggestions et des recommandations.;Tyə́ʼ ɔ páʼ yó á pə pə́ ntéŋ mtə́ŋ júʼ ntɔ́k púa bʉɔ̌ghìŋ 
;La République exemplaire que nous bâtissons est une République ouverte aux critiques constructives sans revendication du monopole de la vérité.;Guŋ pəpúŋ yə pə̂ bə́ wə́ ŋkwə́ â júʼ ntɔ́k bǎ bî waə̌ lə́ tə ghə̌ tə â daʼ yʉ́ á
;La République exemplaire est une République de liberté de tolérance et de civisme.;Guŋ pəpûŋ bə́ guŋ ləpʉə̀ guŋ cɔ́mtso gə́ guŋ ma pəpúŋ
;J’en viens maintenant à ce qui sera sans doute l’une des grandes affaires de ce septennat c’est -à -dire l’accélération de la relance de la croissance.;Gaə́ gɔ ghɔmnwə cwəlɔ nə́ muʼ nə́ mfaʼ gwyə́ myə á gɔ tɔ́m yəŋ sâʼ guʼ sɔmbʉə́ yə pə̂ gɔ yáp nə́ nə́ lóʼnyə máʼ mfaʼ nəsé lə
;Mais auparavant jetons si vous le voulez bien un regard en arrière.;Daʼgaə́ pə píŋ náʼ máʼ mnyə̂ mɔ́kpə jʉ̀m
;Il n’y a pas si longtemps notre gestion budgétaire se caractérisait par de nombreux dérapages.;A ka sák á teʼ páʼ pə gwim ŋkâp mfaʼ guŋ tə pə̌ nə́ dyə̂ e á pə́ 
;Nous peinions à assurer le versement régulier des salaires et pensions des agents de l’Etat et le service de la dette.;pə lə̂ bə́ nə́ pě mpefaʼ mghɛfaʼ gɔ̂pnaʼ ba ŋkâp hwuhwu a tʉɔ̂ wɔ́kpə̀
;Les contraintes de l’ajustement structurel limitaient nos ambitions.;Shə́ nŋkə́lóʼ myə â biŋ gə́ pə pîŋ nyâp shə́ mnwə m sə́ á pə́ ŋkɔ páʼ pə ghə mntə́dyə̂ mɔ́kpə lə
;Nous devions négocier pour atteindre le point d’achèvement de l’initiative PPTE.;Pə̂ gɔ kaknyə tə kwya cwéŋ nə̂ Guŋ Pə́ŋ bə myə́ Mdék Gháʼbú GPMdGh 
;Aujourd’hui nous avons remis de l’ordre dans nos finances publiques.;Pə̌ tyə́ ɔ bə pə̌ nyap mjyə nəsím ŋkáp tə á á
;L’allègement de notre dette nous a donné de nouvelles marges de manœuvre.;Nwəpáʼ pú fíŋ mdêk mɔ́kpə á piŋ hê shə́ mjyə bí pə
;Bref nous savons où nous allons et sommes libres de nos choix.;Pə ghɔ́m gaə́ pə̌ zhyə́ tsʉʼ yə pə̂ gɔ á mo né lə nə́ŋ gɔ́ pə́ m laʼtə wɔ́kpə jyə̀
;Je ne crois pas nécessaire de revenir en détail sur ces projets que j’ai souvent évoqués.;Ŋ ka kwɛ́ gaə́ ǎ puŋ gaə̂ m biŋ bhənyə nə́ shə́ mfaʼ myə gaə́ a zhí gɔmnwə nə́ áá 
;Parlons d’abord de l’agriculture au sens large qui fait vivre la majeure partie de notre population.;Pə lə́ŋdzə gɔ́mnwə nə́ nə́ tsʉ̂ʼcǎʼ yə yá nê mínyə́ boʼyɔ́m nə́ pɔ pɔ́kpə lə
;Comme je l’ai dit à Ebolowa et à Maroua nous devons faire notre « révolution agricole » et nous la ferons.;"Páʼ n də ghɔm Ebolóva ba m Maluwa á, pə̂ gɔ lə ""msâsə́ tsúʼcáʼ"" pə̂ gɔ nə́ŋ ghə yá tə́ ywə́ lə kɔ̂."
;Il nous faudra pour cela sortir des sentiers battus changer de méthodes et mettre en œuvre des moyens modernes.;A pə́ pôʼ bə́ wə́ shə́ŋ gaə́ pə tə́m nə̂ bvo kɔ də́ msâʼ sə́ ŋkó nə́
;Un seul réaliser au Cameroun ou dans le cadre de la CEMAC un vaste programme de production d’engrais à la mesure des besoins de notre agriculture.;Pə̂ gɔ ghə tsʉʼ gwyə̂ nənyáp hwətsʉ́ʼcáʼ ntʉ́m Kaməlûm ba m ntǔ guŋ Pfɔ́p Cə̂ŋywə́ Tuŋ Áfríka CEMAC
;Quelques mots à présent sur l’énergie.;Pə náʼ gɔ́mnwə cwəlɔ m nə́ mɔ̂k ŋkyəʼkyəʼ
;Vous savez l’intérêt que j’y attache.;Pǒ zhyə́ dəŋ yə gaə̂ níŋ nə́ áá
;Nos projets sont désormais en bonne voie.;Mfaʼ mɔ́kpə̌ wə́ gíŋ pəpúŋ
;Les barrages de Lom Pangar Memve’ele Mekin et les centrales qui leur sontassociées seront une réalité dans les prochaines années.;Mbalâzhə Lɔ́m paŋgâ púa msaŋtrâl myə â kwiʼ nə́ â gɔ pə́ nwə nyə́nyɔ́ nə́ mguʼ myə á wə́ sɔ́ʼ áá
;D’autres suivront avec l’aménagement du cours de la Sanaga.;Shə̂ gɔ tə́m jʉm jʉm páʼ pú gɔ nyaptə mə̂shyə sanaga lə
;Le cauchemar des pénuries sera alors derrière nous.;Á pə píŋ də nə́ yâk mɔ̂k yə â jwə́ wɔ́kpə á jɔ́ â jʉ̀m
;Il convient toutefois de s’interroger sur l’origine des défaillances que nous avons connues.;Â shə́ŋ á daʼ nə́ pə̂ dé tsə́ tsyə â gə tə́ pə fó ywə́ yə á cə́ŋ bí pə áá
;Entre projets mal gérés et engagements non tenus les responsabilités devront être établies.;Ǎ ghɔ nə́ mfaʼ myə pú pap gə́ kə́kɔ́ kə myə pú pap láʼ pú ghə́ á bâyálə́ pə́ á nwə dyəʼtyəʼ
;Nous aurons alors une industrie digne de notre pays.;Pə̂ gɔ ghə mtsʉʼfaʼ gwyə́ myə á kuʼnyə nə́ guŋ yɔ́kpə lə
;L’agriculture l’énergie et l’industrie ont pour dénominateur commun un réseau d’infrastructures adapté à une économie en expansion.;Tsʉ̌ʼcáʼ mɔ̂k ŋkyəʼkyəʼ gə́ mtsʉʼfaʼgwyə́ tsám bə́ à taʼywə́ bə́ nə́ pótsə́ tsyə â shə́ŋ bî guŋ yə á wə́ sé lə
;Ce réseau a été amélioré de façon visible dans la période la plus récente.;Yəŋ nə́sâʼ kə nǎʼ gɔdzə nə́ mtâm mɔ tɔ pə yɔ́ 
;Ils permettront non seulement de faciliter les échanges mais aussi de rompre l’enclavement et par là même de conforter l’unité nationale.;Â gɔ kwítə́ nə́ kwínyə ba nə́ tə̂m ntʉ́m fám tə tʉɔnyə nə́ sʉmtə ntamtə yɔ́kpə̀
;Mais me demanderez -vous comment financer des investissements aussi considérables ?.;Pó hə́ŋ gaə́ pə̂ símŋkáp nə́ mfaʼ nəsé mɔ m gaə̂kə́lə́?
;Il sera en priorité fait appel aux investisseurs privés nationaux et étrangers.;Â shə́ nə́ lə pəghə mtsʉʼfaʼ pəlâʼ ba pətə́m 
;Si les projets sont bien étudiés et rentables l’accord pourra être trouvé.;Pú tíŋtə mfaʼbappap máp tə jɔ́ gaə́ á puŋ bə pú gɔ píŋ
;Nous nous tournerons également vers les Etats amis qui nous font confiance.;Pə̂ gɔ piŋ maʼbú bí mguŋ pyə pə a pû bə́ msó áá
;Enfin nous pourrons avoir recours à notre propre budget d’investissement et à l’épargne de nos concitoyens.;Á g̀ɔ nə́ mǐŋ pə nîŋ yɔkpə ŋkâp mfaʼguŋ bíŋ hwu ŋkáp pʉə̌ pɔ pɔ́kpə̀
;Qui n’a pas été impressionné par la facilité avec laquelle notre grand emprunt a été souscrit ?.;A ka tə zhwʉ́mnyə́ waə́ nə́ ntî páʼ pə kə nə hwú ŋkâp gwyə́ á  a? 
;Je voudrais maintenant aborder le volet social de cette intervention.;Gaə́ gɔ ghɔmnwə cwəlɔ m nə́ bʉɔ̌cwə̂ mɔ́kpə̀
;Ce sont pour la plupart des petits paysans des chômeurs des jeunes qui n’ont pu trouver d’emploi des retraités ou des personnes âgées sans ressources.;Â dóʼnyə́ bə́ á pəláʼ pətəfaʼ sɔmywə́ ŋkɛ̂mo pyə wáp ka yɔ́ faʼ pəcwə́ hwítə kə mbvo pɔ pyə wáp ka ghə́ mŋaknyə áá
;Notre pays ne fait pas exception en Afrique.;Guŋ yɔ́kpə tə̂ bə́ yə  ntí ntʉ́m âfríka pə́
;Même dans les pays développés la pauvreté s’étend.;Ba m ntʉ́m guŋ myə á sé á pə̂ bə́ á sí
;Au Cameroun qui n’est peut -être pas le plus mal loti nous nous efforçons de trouver des solutions à la mesure de nos moyens.;Waə̂ bə́ Kaməlûm bə́ juɔjʉm bâwaə̌lə̂ ntəla pə́ nə́yə zhə̀ŋ
;Le chômage véritable fléau social est le mal le plus difficile à combattre.;Nə́ yâkfâʼ bə́ ywə̂ cwəpuŋ yə á ntʉ́m guŋ bə́ wə́ ntʉɔ́ nə́ pî áá
;L’Etat crée des emplois publics selon ses possibilités.;Gɔ̂pnaʼ há faʼ nə̂ dəŋ yə é kuʼnyə nə́ áá
;Actuellement le recrutement de 25 000 diplômés que j’avais annoncé est effectif.;Ǎ tyə́ ɔ bə nə́ lə mghəmfaʼ pɔ 25 000 pyə n də ghɔm á pə̀mtə̀ 
;Mais nous le savons là n’est pas la vraie solution.;Daʼgaə́ pə̌ zhyə́ gaə́ tə yá nê gɔ he wɔ́kpə pə̀ 
;C’est seulement la relance et l’accélération de la croissance qui permettront de régler progressivement le problème du chômage.;Daʼ nə́ lə mfaʼnəsé guŋ gɔ́dzə mgʉʼʉ́ né gɔ té wɔ́kpə ntʉ́m góʼ mûywə́ mûywə́
;Ce sont les grands projets et la révolution agricole qui ouvriront à beaucoup les portes de l’emploi.;Mfaʼ gwyə́ púa mfaʼ tsʉ́ʼcáʼ gwyə́ né gɔ há faʼ bí pə 
;C’est la raison pour laquelle je m’engage pour la part qui est la mienne à les faire aboutir dans les meilleurs délais possibles.;Â du mpôʼ tə́ bə́ gɔ tê yaə̌ gʉ́ʼ nə ghə gaə́ mfaʼ lóʼnyə́ gɔ́dzə̀
;Une autre dimension importante de la question concerne la professionnalisation de notre système éducatif.;Múʼ ywə́ yə á piŋ shə́ŋ â bə́ nə́ ghə gaə́ pə shwátə́ mú m nə̂ səkú fàʼ
;Cette mutation est en cours et l’on peut penser qu’elle donnera les résultats escomptés.;Pə̌ wə́ kwyə́pnyə́ á gaə̂zhyə nə́ŋ bə́ wə́ mɔ́ktə́ gaə́ pə́ a cwə́ ntə́m ywə́
;Vous en constatez comme moi les résultats.;Pǒ wə́ jɔ́ páʼ myə á páʼ á wə́ sé lə
;Je suis confiant qu’à terme nous en percevrons les dividendes au plan de l’emploi.;Gaə̌ zhyə́ gaə́ pə̂ gɔ cwə́ nə̂ miŋ tyəʼ nwə fàʼ 
;Des progrès indéniables ont été faits à cet égard.;Pə̌ náʼ gɔdzə nə́ yə bɔ̂ nwə tə bé a mo lə ghə́ gɛ̌
;Dans toute la mesure du possible nous étendrons la gratuité ou la réduction du coût des soins pour les pandémies ou les maladies infantiles.;Pə̂ gɔ té guŋ gʉ́ʼ tə nə́pâ mgho lâʼlǎʼ púa gho pó pə́ â fě kə̌ fíʼ â dəŋ ŋkáp lə̂ 
;L’habitat demeure la priorité de notre action.;Tsʉʼtí wə́ jaə́ â nwə yə ǎ cə́ŋ gaə̧́ pə tyə́ʼ áá
;Nous soutiendrons également les initiatives en vue « d’humaniser » une mondialisation qui n’a pas tenu toutes ses promesses.;"Pyə̂ gɔ pə́ tʉ́pû yɔ́ nə́ mfaʼ nəhé pɔmnəŋ ""mguŋmguŋ"" myə pú pap láʼ pú  tɔ́m lə"
;Voici l’essentiel de ce que je voulais vous dire alors que ce septennat commence.;Yɔ́ myə gwyə́ nə́ mfaʼ sâʼ guʼ sɔmbʉə́ myə ŋ kə́ bə́ wə́ shə́ŋ nə́sîŋ wɔ́ á mɔ̌
;Ø premièrement il était nécessaire que notre pays continue de vivre en paix et dans la stabilité.;Dəŋdzə e bə́ gaə́ á puŋ gaə́ guŋ yɔ́kpə cwə́ ntʉ́m hwítə̀.
;Ces conditions demeurentd’actualité.;Yə̌ŋ wə́ bə́ mcwə̂ pə pə́ gɔ tə́ lé nwə nə́
;C’est à cet avenir que nous devons tous travailler.;Yɔ́ páʼ pə̂ gɔ nə faʼ á yə̌ŋ
;Ainsi pour les nouvelles générations nous aurons préservé nos acquis tous nos acquis dans la paix et la stabilité.;Á cyə́ mpôʼ pə táʼ guŋ ntʉ́m hwítə bí pəjʉ̀m 
;Tout dépend de nous de notre détermination à servir notre pays.;Guŋ e awɛ̂ bə́ á nə́kuŋ yɔ́kpə nə́ tê gʉ̌ʼ fáʼ nə̂ guŋ yɔ́kpə̀
;en un pays qui crée des richesses et les redistribue de manière équitable.;taʼ guŋ yə á wə́ sé bíŋ gaptə pe dəŋdəŋ bí guŋ pɔ awɛ́
;en un pays qui offre à tous des opportunités égales d’épanouissement.;taʼ guŋ yə á gɔ há dəŋdəŋ bí bǎwaə́lə́ nə́ tsʉ̂pe lə
;en un pays à la croissance économique forte et durable.;taʼ guŋ yə nə́sê tʉɔ bíŋ bə́ gɔ́láʼ ghɔ á mdzə̀
;en un pays à la sécurité alimentaire renforcée.;taʼ guŋ yə pú pʉ́ʼtə́ dəŋ mpfaə́shwə̀
;bref en un pays du bonheur de tous et de chacun.;Pə kwɔ́tə́ ŋké gaə́ taʼ guŋ yûʼpəpúŋ bî guŋ pɔ awɛ́ 
;TOUS ENSEMBLE nous pouvons nous devons relever ce défi.;Pə̂ gɔ tamtə awɛ́ tə́ kuʼ nə́
;Le peuple camerounais s’y est engagé.;Guŋ po á Kaməlúm wə́ fáʼ nə́
;Née le 4 décembre 1970 Mme Chantal BIYA est l'épouse du Président de la République du Cameroun SEM.;Má Chantal BIYA bə́ jwî Dôguŋ bə pú lə tsə̌ é tyə̂ʼ 4 nə́ Fûʼbvʉ guʼ 1970 
;Paul Biya depuis le 23 avril 1994.;Paul Biya tə́ fə́ tyə̂ʼ 23 nə́ Dzə̂biyɛ́ guʼ 1994
;Déclarée d’utilité publique le CERAC comprend.;SERAK yə á bə pú lě bíŋ gaə́ á gɔ pə́ ŋkwítə́ lâʼlǎʼ â bə́
;Le volet diplomatique qui regroupe les épouses des Ambassadeurs et Hauts commissaires accrédités au Cameroun.;Zhəŋ nwətə́m yə â shúʼtə́ pəjwǐ mdôguŋtə́m púa pəjwǐ dôguŋtə́m  pəghɔmgəlísi ntʉ́m Kaməlûm
;Le CERAC œuvre contre les catastrophes naturelles les souffrances de toutes sortes et contre le VIH/SIDA.;SERAK ntúkwa nə́ mcyəyaʼ, ntîntǐ góʼ púa gho Símnə́ 
;Les Synergies Africaines luttent pour la fin du travail des enfants et autres sévices subis par ceux -ci.;Sinɛzhí Afrikɛ̂nə ntúŋkwa nə́ mfaʼ pó púa shə́ mnwə myə pû nə hyá wáp
;Les Synergies Africaines ont pour mission.;Ntə́mdyə́ Sinɛzhí Afrikɛ̂nə̂ bə́
;de promouvoir par tous les moyens l'amélioration des conditions de vie des femmes rurales africaines.;Nə́ cə̂ŋ nwə gə́ gaə́ pəjwǐ tə́m ntʉ́m ghə̀ghʉɔ̀ 
;d'apporter un appui résolu à la mise en œuvre effective de la Déclaration de Genève et des plates -formes africaine et mondiale.;Nə́ ntû pû yáp nə́ nə́ tɔ̂m mcoʼ Zhənɛ̂və tə́ gə̂ shə́ cə̌mcuŋ Afríka kə ntʉ́m Guŋ lə̂ 
;La lutte contre le VIH/SIDA est une préoccupation importante pour les Synergies Africaines.;Nə́ tûŋkwa nə́ símnə̂  bə́ faʼ  bə́ Sinɛzhí Afrikɛ̂nə pə́ ntɔ́m teʼ
;De nombreux dons sont faits pour contribuer à la lutte contre ce fléau qui mine les sociétés du monde.;Pû dási pótsə́ teʼ pú nə̂ dóʼ yəŋ gho yə sím láʼ áá 
;L'objectif principal poursuivi par la Fondation Chantal BIYA est l'aide aux couches sociales défavorisées et la lutte contre les souffrances.;Ntə́mdyə́ Fɔndasyɔ́ŋ Chantal Biyâ bə́ nə́ kwítə pətəcoʼ nə̂ tsʉʼ gə́ nə́ túŋkwa nə́ nə́ yɔ̂gǒʼ
;Elle est également membre du Réseau Mère et Enfant de la Francophonie.;Ê biŋ bə́ gɛcúʼtə Má pú Mú Fəlaŋkofonî
;La Première Dame Madame Chantal Biya a assisté ce samedi 17 juillet 2021 à la cérémonie de clôture de la 74ème édition du Festival de Cannes en France.;Dzəŋdzə mjwǐ Chantal Biyǎ pə́ sí Sásədɛ̂ tyə́ʼ ɔ 17 nə́ Fəfə guʼ 2021 nə́ laʼnwə batə 74 nəjóʼ Msəm Kan Fəlaŋsí
;Décédée il y a deux semaines la sœur ainée du Chef de l’Etat a été inhumée à Mvomeka’a le vendredi 13 novembre 2020 en présence du couple présidentiel.;Pú kə Fəládɛ̂ 13 nə̂ Fə̂nam guʼ 2020 ntə́ŋ shyədzə Dôguŋ yə mjwǐ yə ǎ ghə gap pʉə́ páʼ e mpfʉ́ á nə̂ ghə Dòguŋ pú jwi: e pə́ á sí
;Plusieurs Camerounais ont assisté à ces obsèques pour exprimer leur soutien au Chef de l’Etat en cette douloureuse circonstance.;Boʼyɔ̂m po á kaməlûm kə ghɔ̌ ntə̂ŋmo bɔ̂ nə́ daʼtə wáp pə́ jʉ̌m Dôguŋ nə̂ nwə yəŋ yə a ntə́m nə́ é áá 
;Il a pour objectif général la Recherche sur la Prévention et la Prise en charge du VIH/SIDA.;Ntə́mdyə̂ myə̂ bə́ nə́ cwajyə nə́ Símnə́ ba nə́ pə̂ dé mghɛgho yá
;Ses missions sont la recherche la santé publique les essais cliniques la formation.;Ntə́mdyə̂ myə̂ bə́ nə́ tə́ŋtə zhyə̂, nə̂tʉɔ mòmnə̀ŋ nə́ tiŋtə mghəho púa nə́ zhíʼtə pɔmnəŋ faʼ
;Le but de ces missions est non seulement d’améliorer la prise en charge des malades mais d’apporter un appui aux programmes initiés par le MINSANTE.;Ntə́mdyə̂ mfaʼ myə̂ bə́ nə́ lê nghɛgho nə́ gɔdzə tə tʉɔnyə nə́ tʉ̂pǔ nə́ Ŋwâlâʼ Nə̂ntʉɔ ŊN nə́ mfaʼ myə é kwatə áá
;Le Centre est une Institution de recherche pluridisciplinaire à vocation régionale et internationale.;Tsʉʼ bɔ̂ bə́ tsʉʼ nəjíʼtə́ ntîntǐ mzhyə̂ zhəŋ təŋláʼ ba zhəŋ gùŋ gùŋ
;Il est implanté à Yaoundé et rattaché au Ministère en charge de la Santé Publique.;Â bə pú kwə́ yá Yawude nə́ŋ bə́ júʼ bí ŋwâlâʼ Nə̂ntʉɔ lâʼlǎʼ
;Le CIRCB a été créé par Arrêté du Ministère de la Santé Publique en date du 17 Février 2006.;Taʼ ŋkəmcoʼ ŋwâlâʼ Nə̂ntʉɔ Lâlǎʼ né lə tʉ̌ CIRCB 
